pilot,z_A,lvhar_potential_eV,mean_electron_density_e_per_A3
A0,20.430456944444447,3.879048845339181,0.09173713213552741
A0,20.498558467592595,4.215024818262848,0.07568981936473348
A0,20.56665999074074,4.485430783934217,0.06216671294527312
A0,20.63476151388889,4.705541662669452,0.050873805032244306
A0,20.702863037037037,4.8812424136941654,0.041518111004029475
A0,20.770964560185188,5.023253476336128,0.03381898919496634
A0,20.839066083333336,5.135734046892954,0.02751561264294126
A0,20.90716760648148,5.225935467112978,0.02237271715610803
A0,20.97526912962963,5.2965234494085776,0.018184674792513053
A0,21.043370652777778,5.352472221505198,0.014777155266829933
A0,21.111472175925925,5.395377861663616,0.012006002100775093
A0,21.179573699074076,5.428705484263712,0.00975377960052839
A0,21.247675222222224,5.453339160729911,0.007925090418346641
A0,21.31577674537037,5.471731048088519,0.006441903712796659
A0,21.38387826851852,5.484304619972863,0.0052397863306330155
A0,21.451979791666666,5.492823338541453,0.004265332288712062
A0,21.520081314814817,5.4974225106464605,0.0034745528712850954
A0,21.588182837962965,5.499395804252456,0.0028317413358401513
A0,21.656284361111116,5.498708473724298,0.002308387251057661
A0,21.72438588425926,5.496331706427326,0.0018819526295790006
A0,21.792487407407407,5.492135476753029,0.0015345649012922975
A0,21.860588930555558,5.486863908065018,0.0012518147748823761
A0,21.928690453703705,5.480337294752647,0.0010218366299486095
A0,21.996791976851856,5.47313630273747,0.0008347357046174989
A0,22.0648935,5.4650597170855235,0.0006822943357174565
A0,22.132995023148148,5.456568930184887,0.0005578155793740011
A0,22.2010965462963,5.4474595272244235,0.0004559720202382675
A0,22.269198069444446,5.438104604272576,0.0003725932573102445
A0,22.33729959259259,5.428307295815816,0.0003044004580678386
A0,22.40540111574074,5.4183732980020745,0.00024874362500668627
A0,22.47350263888889,5.40811865546537,0.00020340133877027382
A0,22.54160416203704,5.397796139589637,0.00016647106490940626
A0,22.609705685185187,5.38723744915405,0.00013633550621027356
A0,22.677807208333334,5.376653227735205,0.00011166361531779074
A0,22.74590873148148,5.365892253983353,9.140496504225707e-05
A0,22.81401025462963,5.355131149241773,7.475587119078706e-05
A0,22.88211177777778,5.344236031719929,6.109987817256035e-05
A0,22.950213300925927,5.333355308027615,4.994164310486301e-05
A0,23.018314824074075,5.32237180468144,4.0855928231633356e-05
A0,23.086416347222226,5.311409976478475,3.346346075231035e-05
A0,23.15451787037037,5.300368481420058,2.7430574605507608e-05
A0,23.22261939351852,5.289351253399139,2.2479400320853607e-05
A0,23.290720916666668,5.278271842323628,1.8394581644089e-05
A0,23.358822439814816,5.267216496840305,1.5018860467711126e-05
A0,23.426923962962967,5.256112664722417,1.2238154412846254e-05
A0,23.49502548611111,5.245031055432683,9.962688255860074e-06
A0,23.563127009259258,5.233911888533514,8.112109189276362e-06
A0,23.63122853240741,5.222812059965276,6.609323155555845e-06
A0,23.699330055555556,5.211683603110811,5.382483808774295e-06
A0,23.767431578703707,5.200571476654241,4.370647269391007e-06
A0,23.83553310185185,5.1894381338019775,3.528031841582026e-06
A0,23.903634625,5.178316906401181,2.823995043344704e-06
A0,23.97173614814815,5.167180665013903,2.238876603833694e-06
A0,24.039837671296297,5.156052853988235,1.7580847036911982e-06
A0,24.107939194444448,5.144915497409884,1.3673266993942468e-06
